Ranked lowest to highest. 1000 hands
1: 10 TQJ92 676 subtotal = 676
2: 10 37T48 563 subtotal = 1802
3: 10 82K9T 694 subtotal = 3884
4: 10 4297Q 147 subtotal = 4472
5: 10 4KQ39 573 subtotal = 7337
6: 10 8369J 503 subtotal = 10355
7: 10 AJ35T 679 subtotal = 15108
8: 10 TJ72A 602 subtotal = 19924
9: 10 7QA42 604 subtotal = 25360
10: 10 9A576 756 subtotal = 32920
11: 10 93K4T 499 subtotal = 38409
12: 10 56K97 153 subtotal = 40245
13: 10 65792 969 subtotal = 52842
14: 10 K8A2Q 863 subtotal = 64924
15: 10 8Q432 816 subtotal = 77164
16: 10 KT725 9 subtotal = 77308
17: 10 4297A 690 subtotal = 89038
18: 10 TJAK6 249 subtotal = 93520
19: 10 A7Q5K 148 subtotal = 96332
20: 10 5A4QJ 580 subtotal = 107932
21: 10 T768K 618 subtotal = 120910
22: 10 4J295 489 subtotal = 131668
23: 10 8294A 739 subtotal = 148665
24: 10 TJ85Q 770 subtotal = 167145
25: 10 6QK32 290 subtotal = 174395
26: 10 9Q76J 493 subtotal = 187213
27: 10 37A82 685 subtotal = 205708
28: 10 6954Q 144 subtotal = 209740
29: 10 K938T 647 subtotal = 228503
30: 10 AJ364 717 subtotal = 250013
31: 10 K8T73 1000 subtotal = 281013
32: 10 72K89 644 subtotal = 301621
33: 10 A62T9 275 subtotal = 310696
34: 10 325J4 58 subtotal = 312668
35: 10 9AJ4T 208 subtotal = 319948
36: 10 9TQ57 798 subtotal = 348676
37: 10 KJ973 273 subtotal = 358777
38: 10 2Q478 135 subtotal = 363907
39: 10 84J32 876 subtotal = 398071
40: 10 523TQ 506 subtotal = 418311
41: 10 49378 524 subtotal = 439795
42: 10 4J638 370 subtotal = 455335
43: 10 943AJ 518 subtotal = 477609
44: 10 35T9K 988 subtotal = 521081
45: 10 29K7A 946 subtotal = 563651
46: 10 428K6 178 subtotal = 571839
47: 10 A9257 171 subtotal = 579876
48: 10 3K457 982 subtotal = 627012
49: 10 8A9Q4 404 subtotal = 646808
50: 10 78TAJ 869 subtotal = 690258
51: 10 52TJ9 143 subtotal = 697551
52: 10 4JTK5 228 subtotal = 709407
53: 10 J56T8 781 subtotal = 750800
54: 10 85249 271 subtotal = 765434
55: 10 Q754K 8 subtotal = 765874
56: 10 6897J 626 subtotal = 800930
57: 10 Q2867 584 subtotal = 834218
58: 10 9Q8KA 2 subtotal = 834334
59: 10 7A49T 697 subtotal = 875457
60: 10 7J3Q2 413 subtotal = 900237
61: 10 4T23A 666 subtotal = 940863
62: 10 76A4Q 805 subtotal = 990773
63: 10 872KT 325 subtotal = 1011248
64: 10 A924Q 715 subtotal = 1057008
65: 10 48T35 428 subtotal = 1084828
66: 10 T438Q 649 subtotal = 1127662
67: 10 9Q74A 758 subtotal = 1178448
68: 10 78KTQ 458 subtotal = 1209592
69: 10 K9QT8 40 subtotal = 1212352
70: 10 KA385 998 subtotal = 1282212
71: 10 79K54 772 subtotal = 1337024
72: 10 A42QK 829 subtotal = 1396712
73: 10 K784T 552 subtotal = 1437008
74: 10 56QK8 596 subtotal = 1481112
75: 10 TQ2K4 473 subtotal = 1516587
76: 10 2849J 857 subtotal = 1581719
77: 10 9A8T5 272 subtotal = 1602663
78: 10 9K7AT 302 subtotal = 1626219
79: 10 3674Q 342 subtotal = 1653237
80: 10 T2KJ6 551 subtotal = 1697317
81: 10 7J59T 652 subtotal = 1750129
